Entity,Code,Year,Under-fifteen mortality rate
Nepal,NPL,1978,25.848461
Nepal,NPL,1979,25.090551
Nepal,NPL,1980,24.30243
Nepal,NPL,1981,23.530273
Nepal,NPL,1982,22.751982
Nepal,NPL,1983,21.968176
Nepal,NPL,1984,21.182209
Nepal,NPL,1985,20.39746
Nepal,NPL,1986,19.594707
Nepal,NPL,1987,18.762915
Nepal,NPL,1988,17.935154
Nepal,NPL,1989,17.107729
Nepal,NPL,1990,16.1046
Nepal,NPL,1991,15.29891
Nepal,NPL,1992,14.511744
Nepal,NPL,1993,13.753002
Nepal,NPL,1994,13.01895
Nepal,NPL,1995,12.313235
Nepal,NPL,1996,11.635317
Nepal,NPL,1997,10.971658
Nepal,NPL,1998,10.338213
Nepal,NPL,1999,9.729013
Nepal,NPL,2000,9.156946
Nepal,NPL,2001,8.625138
Nepal,NPL,2002,8.131882
Nepal,NPL,2003,7.6808896
Nepal,NPL,2004,7.276959
Nepal,NPL,2005,6.912148
Nepal,NPL,2006,6.58184
Nepal,NPL,2007,6.2824664
Nepal,NPL,2008,6.0042443
Nepal,NPL,2009,5.744147
Nepal,NPL,2010,5.4981885
Nepal,NPL,2011,5.261133
Nepal,NPL,2012,5.0299134
Nepal,NPL,2013,4.8058686
Nepal,NPL,2014,4.590079
Nepal,NPL,2015,4.6440606
Nepal,NPL,2016,4.178783
Nepal,NPL,2017,3.9862733
Nepal,NPL,2018,3.8018708
Nepal,NPL,2019,3.624652
Nepal,NPL,2020,3.461535
Nepal,NPL,2021,3.319563
Nepal,NPL,2022,3.1919544
Nepal,NPL,2023,3.0749867
