BANGLADESH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2023,,,,,,,,,,,,,,,,,,,,,,,,
https://kidb.adb.org,,,,,,,,,,,,,,,,,,,,,,,,
,"Expenditure by Function, Central Government",,,,,,,,,,,,,,,,,,,,,,,
,     Total expenditure,245.496,309.206,317.962,362.859,367.072,421.113,447.286,501.559,629.1,893.16,1015.17804,1282.83497,1524.52,1756.42,1890.95,2088.68,2400.47,2693.82,3593.33,4196.11,4494.5,4817.24,…
,          General public services,35.216,45.098,45.346,42.791,50.2,50.47,51.568,43.441,52,68.82,82.5,80.81,110.73,79.48,144.25,123.36,151.27,292.52,816.04,938.04,1188.42,1395.06,…
,          Defense,31.119,33.929,37.282,39.258,37.807,40.8,42.471,65.501,70.1,71.56,87.59,111.25,122.3,134.05,152.46,175.87,204.38,233.38,269.9,325.47,347.75,355.72,…
,          Economic affairs,43.228,64.559,72.346,88.656,45.837,56.769,56.753,64.751,100.2,173.8,221.16,281.76,336.75,450.31,441.79,473.04,603.28,566.09,852.38,988.78,1053.51,951.35,…
,               Agriculture,12.431,13.366,12.48,13.149,14.092,23.201,20.566,30.305,43.5,95.6,111.47,129.57,146.71,196.67,172.77,159.71,178.63,168.93,125.75,151.57,145.56,170.41,…
,               Industry,12.41,20.948,16.939,18.758,9.13,7.14,7.93,13.27,16.14,15.04,17.71,17.88,24.24,29.97,33.09,32.39,36.55,40.42,48.26,40.19,38.42,50.15,…
,"               Electricity, gas, and water",0.011,0.049,0.029,0.037,0.038,0.044,0.1,0.189,0.2,25.5,34.69,72.33,79.69,102.8,102.26,93.61,169.84,146.2,282.03,345.26,331.32,228.4,…
,               Transport and communications,16.684,28.427,41.06,36,28.907,30.261,33.283,27.881,45.2,43.78,66.23,70.49,94.55,124.8,142.44,194.06,235.17,228.97,413.82,451.76,538.21,502.39,…
,               Other economic services,1.692,1.769,1.838,20.712,2.8,3.263,2.804,6.376,11.3,12.1,14,16,18,17,15,16,17,20,19,18,20.5,21.2,…
,          Environmental protection,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,67.09,87.63,74.31,87.19,…
,          Housing and community amenities,6.719,17.637,9.853,10.359,9.6,10,13.204,9.951,16.6,13.73,12.49,13.25,13.36,13.73,16.95,19.62,38.63,50.05,34.71,59.61,54.96,63.27,…
,          Health,23.175,22.768,23.875,24.823,28.878,31.288,34.583,39.532,41.8,51.01,62.71,72.88,76.67,85.49,93.86,104.2,126.05,66.21,178.03,185.4,176.53,216.46,…
,          Education,48.443,57.356,56.43,61.782,65.493,70.834,83.128,96.92,104.1,120.98,159.04,188.03,191.07,212.84,267.02,303.1,399.24,490.02,512.48,632.6,659.69,719.26,…
,          Social protection,3.269,4.212,4.193,5.795,7.557,11.952,14.079,15.669,18.5,78.85,69.59,77.28,89.86,100.47,112.3,111.52,153.23,162.08,293.88,350.94,343.1,389.76,…
,          Othersag,54.327,63.647,68.637,89.395,121.7,149,151.5,165.794,225.8,314.41,320.13,457.58,583.78,680.05,662.32,777.97,724.39,833.47,568.82,627.64,596.23,639.17,…
,,,,,,,,,,,,,,,,,,,,,,,,
,                    Expenditure by Function (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,
,                    Education,2.04332,2.26212,2.06552,2.05543,1.96699,1.91082,1.72344,1.76282,1.65584,1.71585,1.99414,2.05311,1.81074,2.05051,2.26097,2.00251,2.30832,2.50514,2.277182848,2.492710221,2.285907343,2.3,…
,                    Health,0.97752,0.89797,0.8739,0.82584,0.86731,0.84402,0.71699,0.71903,0.66488,0.72347,0.78629,0.79578,0.72659,0.82361,0.79475,0.68842,0.7288,0.33849,0.791068651,0.730554023,0.611698257,0.7,…
,                    Social protection,0.13789,0.16612,0.15348,0.19279,0.22696,0.32242,0.29189,0.28499,0.29427,1.11833,0.87256,0.84383,0.85159,0.96793,0.95089,0.73679,0.88594,0.82861,1.305843146,1.382851289,1.188883884,1.2,…
,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADE fiscal year ending 30 June (Tk billion),,,,,,,,,,,,,,,,,,,,,,,
,"Exports, fob",249.23,324.19,309.34,375.887,441.6,531.3,707.5,841,968,1071.9,1121.3,1635.9,1924.4,2157.1,2314.26844,2384.23599,2617.09266,2691.58328,2979,3327.777585,2723.253713,3129.606889,4249.873047
,"Imports, fob",380.6545392,454.876056,442.0748859,504.1353,579.923352,728.745593,892.2270897,1070.75225,1336.433614,1396.045149,1479.724502,2315.008391,2634.618657,2683.816978,2842.29812,2925.20754,3122.65226,3441.00792,4471.4,4658.334046,4297.553959,5146.13109,7119.367997
,     Trade balance,-131.4245392,-130.686056,-132.7348859,-128.2483,-138.323352,-197.445593,-184.7270897,-229.7522498,-368.4336139,-324.1451492,-358.4245024,-679.1083913,-710.2186567,-526.7169776,-528.02968,-540.97155,-505.5596,-749.42464,-1492.4,-1330.556461,-1574.300246,-2016.524201,-2869.49495
,,,,,,,,,,,,,,,,,,,,,,,,
,               External Trade (% annual change),,,,,,,,,,,,,,,,,,,,,,,
,               Exports,19.52904,30.07664,-4.58065,21.51258,17.48212,20.3125,33.16394,18.86926,15.10107,10.73347,4.60864,45.89316,17.63555,12.09208,7.286098929,3.023311764,9.76651099,2.846311907,10.67835137,11.70787463,-18.16599386,14.9216055,35.79574681
,               Imports,9.736663745,19.49839268,-2.814210581,14.03843921,15.03327619,25.6623984,22.43327415,20.00893743,24.81258985,4.460493561,5.994029151,56.44860834,13.80600894,1.867379204,5.905065201,2.916985358,6.749767916,10.19504042,29.94448441,4.180660323,-7.744830736,19.7455841,38.34408553
,,,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,
,"Exports, total",5589.577566,5735.614032,5443.255653,6229.390323,7585.600652,8494.401623,10852.586642,12243.261953,13627.575923,14377.479202,16496.6389,23099.859732,22250.716486,25912.792554,28433.668595,29924.446181,30195.060277,31392.754034,33775.434148,35919.38811,29924.200945,37848.891219,46851.063751
,     1. United States,1779.486589,1696.621601,1504.413978,1488.637734,1697.524943,2003.484355,2552.251491,2766.837769,2822.57087,2910.412511,3247.489547,3824.24921,3702.391133,3948.049823,4052.552527,4164.906663,3962.324977,3839.760324,4178.823354,4607.351118,4571.707545,7394.856501,9494.337737
,     2. Germany,607.795386,588.171514,566.161183,849.628538,1101.523726,1143.715434,1605.263782,1757.781936,1803.538888,1832.627838,2074.948528,3251.257978,2970.585889,3440.734239,3877.973708,3857.42397,3837.886918,4042.546968,4428.723416,4557.108397,4151.024585,4866.570882,6215.873387
,     3. United Kingdom,439.532606,486.504177,531.657356,604.108032,849.246237,794.780155,891.833911,971.556434,1169.448575,1241.572998,1243.941491,1981.990528,1908.095391,2193.27008,2238.837752,2656.666188,2588.737685,2731.010764,2854.274876,3050.036309,2798.704095,3660.880614,4440.34249
,     4. Spain,71.816393,88.384475,103.528735,158.884362,239.775395,298.77005,380.525722,419.344919,488.59446,494.506473,507.388856,836.447888,845.66801,1010.335841,1229.887779,1412.315184,1495.52953,1670.37368,1915.832139,2085.370688,1911.840058,2380.478128,3128.03799
,     5. France,288.604413,308.354567,311.486411,367.539262,526.416232,544.534762,630.925323,705.364313,864.435609,931.161668,997.692552,1450.898793,1164.485159,1354.281702,1466.439158,1503.963368,1549.885164,1588.559609,1687.599569,1881.280792,1555.540078,1897.440812,2765.939064
,     6. Italy,227.940059,263.033216,216.011333,240.7631,305.136092,326.23025,428.118682,477.118053,528.104052,530.612436,561.161612,869.663567,758.607036,920.259903,1161.697904,1170.860447,1159.276138,1280.826015,1373.159117,1391.654837,1151.32172,1271.621565,1763.649265
,     7. Poland,8.22574,6.636126,5.944064,6.127909,10.239542,14.597122,25.975203,36.250995,46.290163,56.886927,52.928875,208.738747,287.518098,364.840277,459.35188,511.327197,593.995743,766.481858,943.51933,1083.585448,1061.457162,1432.648039,1732.565504
,     8. India,50.129277,60.799617,39.32622,55.339959,66.146976,118.879773,152.347935,215.059004,318.81883,268.226686,320.902094,523.016363,519.968406,472.975319,431.999388,546.832308,642.798932,559.70829,877.279701,980.322249,879.478629,1454.631128,1707.392855
,     9. Netherlands,234.079493,251.469374,207.892799,227.443828,254.00027,241.396591,318.269896,411.686298,646.984311,847.647952,890.232648,831.909543,536.783264,612.787838,653.984542,620.123802,608.093061,833.517271,836.531891,904.737138,882.509524,1330.24814,1713.876964
,     10. Canada,96.612179,95.624993,82.556219,165.51534,247.443722,275.360226,361.422115,365.310016,435.035258,502.310489,552.829825,783.302622,778.19462,853.349706,778.262672,780.096751,770.01127,789.056253,832.185243,970.062755,805.395894,1155.909679,1543.442339
,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total",8861.116213,8997.260867,7839.863764,9816.541845,11572.4645,13836.362084,16080.326498,18466.401712,23832.899736,21819.301916,27771.160745,36148.056168,34159.373189,37477.383162,41635.060896,39412.978348,41248.199908,47751.479069,55318.924583,55095.294344,45857.952196,67282.638499,80161.58123
,"     1. China, People's Republic of",667.497696,772.396471,910.296942,1090.837527,1445.681787,1870.347466,2332.221219,2771.642961,3511.429008,3524.220387,4681.434026,6575.183381,6092.129668,6972.525778,7846.100526,8848.847752,10028.788908,10433.749057,13144.048573,13265.781719,10862.597232,16913.107691,19599.227016
,     2. India,945.447794,1195.492426,1145.828353,1494.218777,1745.057548,1951.237675,2061.705358,2646.578329,3498.15023,2748.594039,3859.817647,4870.252087,4704.225823,5246.115594,6174.399137,5575.188335,5530.175512,7281.71212,8641.555362,6936.466446,6289.501972,11024.044838,12808.141096
,     3. Singapore,760.890272,827.066188,905.554129,1040.729104,873.067103,852.310159,965.169769,1137.488063,1682.048392,1646.374479,1492.809119,1431.390417,1560.090684,1970.083027,2408.405001,2038.016002,2101.536214,2739.905968,2879.703592,2592.77058,1675.94599,3842.870454,3536.199133
,     4. Indonesia,193.16017,179.515263,171.49683,209.241482,261.052454,269.526841,312.757162,378.675141,495.697005,583.955241,753.243621,1051.259484,1124.792304,1079.676826,1281.320928,1295.805258,1088.873099,1357.768133,1963.1594,1846.723782,1707.099413,2606.98363,3494.490049
,     5. United States,213.94133,264.908265,234.192468,231.086816,268.194361,326.541998,376.708302,470.409016,428.592999,468.145133,534.096354,787.692964,573.086107,650.588842,876.518582,940.158104,861.288063,1435.284016,1727.46548,1946.830519,2071.124515,2513.7089,2781.918388
,     6. Malaysia,128.434939,146.479444,147.839801,215.214884,274.782768,299.669936,347.815206,327.061052,621.215668,973.437018,1316.045306,1766.261025,1711.42812,1975.522146,1762.698773,1000.660848,957.198866,1195.941754,1507.675391,1649.86019,1230.469656,2347.069183,4107.373587
,     7. Japan,849.664259,720.708747,594.859973,566.699645,613.950119,570.993246,749.822718,653.835051,974.694546,1009.755101,1162.711187,1430.667639,1345.987252,1183.361934,1431.26242,1533.478114,1835.907435,1671.91522,1886.099562,1827.717724,1785.802188,2421.423896,2420.677498
,     8. Brazil,31.348237,36.927813,24.434538,43.289432,120.350452,94.146518,106.046817,211.722781,150.03222,392.975429,418.981736,883.789838,1098.686785,939.322624,984.525481,909.227654,1080.991335,1506.582021,1194.220167,1404.972636,1560.035353,2049.140724,2593.403487
,     9. Qatar,1.970198,4.151671,1.715124,5.581745,10.671531,15.091066,22.24786,51.810885,95.676599,68.224523,135.761841,165.977472,130.883682,158.565788,264.856114,209.110353,119.326899,181.786176,494.821027,1413.026755,1054.197847,1268.079266,2877.148302
,"     10. Korea, Republic of",347.78005,403.74167,340.835692,366.979079,418.573893,446.155311,514.56718,550.613679,796.311676,804.706218,965.480697,1333.696984,1487.803637,1237.723023,1237.345325,1134.73307,1206.030525,1232.23737,1285.526131,1203.866674,977.127076,1424.861071,1776.426748
,,,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTS fiscal year ending 30 June ($ million),,,,,,,,,,,,,,,,,,,,,,,
,Current account balance,-418,-1098,157,176,176,-557,824,936,702,2416,3724,-1686,-447,2388,1409,3492,4262,-1331,-9567,-4490,-5435,-4575,-18639
,     Balance on goods,-1865,-2011,-1768,-2215,-2319,-3297,-2889,-3458,-5330,-4710,-5155,-9935,-9320,-7009,-6794,-6965,-6460,-9472,-18178,-15835,-18569,-23778,-33250
,          Exports,5701,6419,5929,6492,7521,8573,10412,12053,14151,15581,16233,22592,23989,26567,29777,30697,33441,34019,36285,39604,32121,36903,49245
,          Imports,7566,8430,7697,8707,9840,11870,13301,15511,19481,20291,21388,32527,33309,33576,36571,37662,39901,43491,54463,55439,50690,60681,82495
,     Balance on services,-645,-914,-499,-691,-874,-870,-1023,-1255,-1525,-1616,-1233,-2612,-3001,-3162,-4096,-3186,-2708,-3288,-4201,-3176,-2578,-3020,-3955
,          Credit,849,759,865,887,924,1177,1340,1484,1891,1832,2478,2573,2694,2830,3115,3084,3523,3621,4540,7154,6716,7439,9925
,          Debit,1494,1673,1364,1578,1798,2047,2363,2739,3416,3448,3711,5185,5695,5992,7211,6270,6231,6909,8741,10330,9294,10459,13880
,     Balance on primary income,-302,-344,-402,-358,-374,-680,-702,-905,-994,-1484,-1484,-1454,-1549,-2369,-2635,-2252,-1915,-1870,-2641,-2382,-3070,-3172,-3152
,          Credit,97,97,50,64,63,116,136,244,217,95,52,124,193,120,131,76,74,82,146,177,174,217,345
,          Debit,399,441,452,422,437,796,838,1149,1211,1579,1536,1578,1742,2489,2766,2328,1989,1952,2787,2559,3244,3389,3497
,     Balance on secondary income,2394,2171,2826,3440,3743,4290,5438,6554,8551,10226,11596,12315,13423,14928,14934,15895,15345,13299,15453,16903,18782,25395,21718
,          Credit,…,…,2757,3358,3682,4253,5313,6457,8402,10154,11469,12212,13317,…,…,…,…,…,…,…,…,…,…
,          Debit,…,…,69,82,61,37,125,97,149,72,127,103,106,…,…,…,…,…,…,…,…,…,…
,Capital account,561,432,410,428,196,163,375,490,576,451,512,642,482,629,598,496,464,400,331,239,256,458,181
,     Credit,561,432,410,428,196,163,375,490,576,451,512,642,482,629,598,496,464,400,331,239,256,458,181
,     Debit,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,Financial account,-116,682,391,413,-31,784,-141,762,-457,-825,-651,651,1436,2770,2855,1267,944,4247,9011,5129.7,8654,14067,13775
,     Direct investment,383,550,391,376,276,800,743,793,748,961,913,775,1191,1726,1474,1172,1285,1653,1778,2627.7,1271,1355,1827
,     Portfolio investment,…,…,-6,2,6,…,32,106,47,-159,-117,109,240,368,937,379,139,457,349,171,44,-269,-158
,     Financial derivatives,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Other investment,-499,132,6,35,-313,-16,-916,-137,-1252,-1627,-1447,-233,5,676,444,-284,-480,2137,6884,2331,7339,12981,12106
,Net errors and omissions,152,-297,-550,-202,-170,-323,-720,-695,-490,16,-720,-263,-977,-659,621,-882,-634,-147,-632,-699.7,-306,-676,-697
,Overall balance,179,-281,408,815,171,67,338,1493,331,2058,2865,-656,494,5128,5483,4373,5036,3169,-857,179,3169,9274,-5380
,Reserves and related items,-179,281,-408,-815,-171,-67,-338,-1493,-331,-2058,-2865,656,-494,-5128,-5483,-4373,-5036,-3169,857,-179,-3169,-9274,5380
,International investment position,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,
,               Exports,12.09761,13.661,12.46344,12.50538,13.31302,14.1971,14.48026919,15.13311368,15.44117058,15.20373522,14.08080282,17.55647222,17.9825882,17.7117322,17.22343693,15.72920467,12.60810249,11.58003682,11.28742413,11.27514023,8.589434917,8.865664066,10.70034049
,               Imports,16.63973,18.55484,16.30908,16.8445,17.58732,20.59743,18.49808495,19.47479684,21.25711568,19.79969138,18.55234465,25.27706144,24.96902874,22.38450409,21.15318239,19.29808471,15.04368582,14.80429705,16.94217943,15.78331732,13.5549471,14.57814707,17.92516172
,               Balance on goods,-3.95756,-4.27984,-3.71654,-4.2667,-4.10489,-5.45991,-4.01781576,-4.341683158,-5.815945104,-4.595956158,-4.471541831,-7.720589215,-6.986440537,-4.672771896,-3.929745459,-3.568880038,-2.435583328,-3.224260231,-5.654755295,-4.508177092,-4.965512187,-5.712483,-7.224821226
,               Balance on services,-1.418566518,-2.011725235,-1.057324744,-1.336804765,-1.562171534,-1.509708747,-1.4620214,-1.5721718,-1.6639945,-1.5823513,-1.0767825,-2.1148719,-2.3281738,-2.0598687,-2.3667877,-1.6383328,-1.020984466,-1.119232225,-1.30683392,-0.904197691,-0.689379634,-0.725531948,-0.859373472
,               Current account balance,-0.9193,-2.41675,0.33267,0.34049,0.31457,-0.96653,1.145960604,1.175192434,0.766002526,2.357501078,3.230266106,-1.310207692,-0.335079283,1.592035852,0.81498548,1.789307838,1.606881756,-0.453071196,-2.97607239,-1.278289557,-1.453366295,-1.099108829,-4.050028356
,               Overall balance,0.39367,-0.61849,0.86451,1.57669,0.30563,0.11626,0.470066364,1.874532375,0.361177829,2.008169378,2.485153704,-0.50978425,0.370311333,3.418743656,3.171444562,2.240734014,1.898699325,1.078724733,-0.266592875,0.050960764,0.847418177,2.228007711,-1.169008668
,,,,,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES as of end of period ($ million),,,,,,,,,,,,,,,,,,,,,,,
,Total,1515.5943534418,1305.3960824293,1722.0732227973,2624.1816228171,3222.3730876458,2825.328965812,3876.9965346535,5278.0133379244,5788.6292164101,10343.299923764,11177.525883545,9192.071637134,12751.107089824,18092.031824231,22310.710091374,27493.071470108,32278.832181625,33423.802813947,32019.221218811,32691.770990503,43164.189716514,46153.92209872,33747.833907749
,"     Gold, national valuation",29.62962962963,30.368421052632,38.860103626943,46.289916759808,49.93225478785,58.087902129588,71.396407157884,94.581056665515,99.347069065583,124.40321251049,613.24641659258,682.54148600721,719.88819021689,527.65273311897,525.31514033463,469.69247251284,502.75595853737,574.613646736,566.48208956,678.88033979,841.82957792,805.87565311,818.30706638
,     Foreign exchange,1485.288,1273.6,1680.716,2574.4,3170.8731,2765.9776,3803.8949,5182.214,5686.7215,9499.8952,9904.0573,7775.0573,11393.3136,16579.58641966,20796.44149535,25801.34613638,30294.51760619,31289.07158072,29973.36330399,30648.47000485,41035.80094284,42851.17924887,30049.87466138
,     Reserve position in the IMF,0.24257016810117,0.23397292501345,0.25311194857739,0.27665050426399,0.32526494303569,0.32899551210588,0.37555437209274,0.43942276695132,0.45596908370903,0.47925083205175,0.63277255534885,0.63081309213284,0.75254975009683,0.75405751280894,0.82980307842092,0.79367718851894,180.12585902799,190.94815581737,186.4775658366,185.40948507724,193.11143645175,187.65777551355,178.43975469888
,     SDRs,0.43415364410291,1.1936884516586,2.2440072217872,3.2150555529964,1.2424679148703,0.93446817025413,1.3296731235595,0.77885849193757,2.1046782607892,718.52226042161,659.58939439674,733.84203803468,637.15274985707,984.03861393915,988.12365261132,1221.2391840264,1301.4327578697,1369.1694306739,1292.8982594244,1179.0111607853,1093.4477593023,2309.209421226,2701.2124252898
,,,,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES (Tk–$),,,,,,,,,,,,,,,,,,,,,,,
,End of period,54,57,57.9,58.7817,60.7423,66.21,69.0651,68.5761,68.92,69.2667,70.7497,81.8529,79.8499,77.75,77.9494,78.5003,78.7022,82.7,83.9,84.9,84.8,85.8,99
,Average of period,52.141666666667,55.806666666667,57.888,58.15004,59.512658333333,64.327475,68.933233333333,68.874875,68.598275,69.039066666667,69.649291666667,74.1524,81.862658333333,78.103235,77.641408333333,77.946908333333,78.468091666667,80.437541666667,83.466201916667,84.4535225,84.871391666667,85.08376325,91.745454439696
,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS as of end of year ($ million),,,,,,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,15600.5646971,14978.8024008,16687.5871821,18440.3775754,19714.0736918,18503.0860163,20160.9327171,21523.5441774,23346.9177083,25377.7950504,26571.755072,27046.0846482,29155.9767421,32453.6480168,35268.1103547,38695.1751442,41553.5738977,51041.3714646,57088.9963206,62427.3790288,73507.1918171,91429.3050716,…
,     Long-term debt,14989.4578895,14410.2339606,15980.8218499,17679.803154,18698.2723226,17438.90141,18435.5552727,19578.8985901,20695.2225019,21969.8102246,22221.5026852,23671.9363489,25985.9364082,27224.4493662,29647.0923144,30451.6034829,32172.4826931,38651.1767226,46523.2522415,51276.2844892,60411.8227157,70040.1026237,…
,          Public and publicly guaranteed,14989.4578895,14410.2339606,15980.8218499,17679.803154,18698.2723226,17438.90141,18435.5552727,19433.4985901,20273.5625019,21184.6502246,21145.5426852,22217.9363489,24196.7864082,25033.6373662,26538.4183144,27093.9734829,29079.5786931,35255.8087226,41285.3792415,46375.6344892,54786.7217157,62425.2126237,…
,          Private nonguaranteed,…,…,…,…,…,…,…,145.4,421.66,785.16,1075.96,1454,1789.15,2190.812,3108.674,3357.63,3092.904,3395.368,5237.873,4900.65,5625.101,7614.89,…
,     Short-term debt,334,360.743,572.094,617,712,688.428094,1178,1369.6700445,1893.5358056,1933.3215707,2947.346678,2103.3362531,1957.1661907,3732.7799387,4151.0198948,6630.821,7834.619,10764.94,9029.402,9737.331,10986.456,18088.196,…
,     Use of IMF credit,277.1068076,207.8254402,134.6713322,143.5744214,303.8013692,375.7565123,547.3774444,574.9755428,758.1594008,1474.6632551,1402.9057088,1270.8120462,1212.8741432,1496.4187119,1469.9981455,1612.7506613,1546.4722046,1625.254742,1536.3420791,1413.7635396,2108.9131014,3301.0064479,…
,,,,,,,,,,,,,,,,,,,,,,,,
,               External debt (% of GNI),28.312285791779,26.925869643048,29.323775410719,29.464951115615,29.023105305012,25.514224933077,26.572916233522,25.405554036323,23.65823330035,22.945008642562,21.322720343265,19.482390506501,20.157385747208,20.026422459401,19.125102240295,18.626492127249,14.965481447526,16.795619367501,17.080705374038,17.074122298276,18.878075225096,20.865928488102,…
,               Total long-term debt (% of total debt),96.08279047,96.20417958,95.76472426,95.87549432,94.84732894,94.24861018,91.44197608,90.9650308,88.64220434,86.57099713,83.62828359,87.5244482,89.12730531,83.88717765,84.06203796,78.69612521,77.42410502,75.72519236,81.49250335,82.13749366,82.18491446,76.60574754,…
,               Short-term debt (% of total debt),2.1409,2.4083,3.4282,3.3459,3.6116,3.7206,5.8429,6.3635,8.1104,7.6181,11.092,7.7768,6.7127,11.5018,11.7698,17.136,18.8542,21.0906,15.8163,15.5978,14.946,19.7838,…
,               Debt service (% of exports of goods and services),10.604193009881,9.6418350304912,10.180855880517,8.2550837087505,7.0855187656346,7.6125178519162,5.4568605158589,7.0337507160126,5.3186433804354,6.0420689456254,5.0830418241499,5.629773751522,6.0357002504251,6.1101431007542,6.1346627212876,5.0010539188064,4.920983605905,5.7989859298356,6.7953285907362,13.144468414335,10.459102568806,11.426660492176,…
,,,,,,,,,,,,,,,,,,,,,,,,
,Debt service transactions during the year ($ million),,,,,,,,,,,,,,,,,,,,,,,
,     Principal repayments on long-term debt,488.6551714,424.7564131,447.3466137,412.1571931,451.8496697,574.8394195,481.7086571,743.9982921,669.2729403,770.2991651,820.6841408,1081.4025696,1142.5874163,1437.96262,1547.2393062,1290.1479033,1325.3595721,1468.1213101,2033.1993043,4680.7231306,2871.3759697,4206.8854169,3935.9553063
,     Interest on long-term debt,165.3945883,158.1950103,157.2571095,159.1062938,175.3501413,198.8537293,167.4756112,187.2834533,216.8504407,207.6309959,203.3130785,262.4895319,304.8323711,315.257892,360.3880276,330.9366653,376.6283795,553.1441547,640.8955696,808.4981739,862.5662555,1087.6677576,1167.8409177
,     Interest on short-term debt,22.231,16,12,13,23.683,35.05,58.83,72,39,23.9,31.8,49.535,27.984,47.249,51.207,87.25,136.706,243.603,298.6,323.937,181.242,209.823,…
,,,,,,,,,,,,,,,,,,,,,,,,
,Average terms of new commitments,,,,,,,,,,,,,,,,,,,,,,,
,     Interest rate (% per annum),2.3359,1.4577,1.3478,1.2234,1.0023,1.4527,2.0305,2.1095,1.1633,1.9725,0.9241,0.9528,1.73,0.6492,0.8189,0.9288,2.1082,1.2611,1.6288,1.4829,1.1919,1.148,…
,     Maturity (years),26.3605,33.0646,33.9977,31.8054,36.606,35.1229,33.5837,32.3136,37.4813,25.5339,31.5704,33.266,28.0864,34.6782,33.2207,32.2093,29.4323,24.349,27.5153,25.8443,25.5781,25.7797,…
,     Grace period (years),7.3011,8.4951,8.5769,8.224,9.4337,9.1952,8.7389,8.2112,9.5278,7.3661,8.501,4.6825,7.3766,8.5987,8.1608,6.9772,9.0608,5.9733,6.3369,6.9106,6.7511,6.1239,…
,     Grant element (%),30.3786,43.7733,45.7251,45.203,51.9376,44.7737,39.1072,37.2986,50.3451,30.4223,47.8118,45.4565,36.3852,54.356,50.9124,48.0598,33.3502,37.4192,36.5261,37.406,39.9873,39.5042,…
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"... = data not available; | = marks break in series; – = magnitude equals zero; 0.0 = magnitude is less than half of unit employed; * = provisional, preliminary, estimate, budget figure; $ = United States dollars; fob = free on board; GDP = gross domestic product; GNI = gross national income; IMF = International Monetary Fund; km² = square kilometer; kWh = kilowatt-hour; m³ = cubic meter; NPISHs = nonprofit institutions serving households; SDRs = special drawing rights; t = metric ton; Tk = taka.",,,,,,,,,,,,,,,,,,,,,,,,
"Note: A base year represented as, e.g., 2000/2001, corresponds to the fiscal year (e.g., beginning 1 July 2000 and ending 30 June 2001) and related data are presented in the column for the single year during which most of the fiscal year occurred (e.g., 2001).",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
a,"Data are based on the Bangladesh Bureau of Statistics Sample Vital Registration System. For 2000–2010, population growth rates are based on annual growth. For 2011–2022, population growth rates are based on intercensal growth between the population censuses of 2001 and 2011.",,,,,,,,,,,,,,,,,,,,,,,
b,"Prior to 2016, estimates of GDP at current prices used the 2005/2006 base year. For 2016–2022, estimates of GDP at current prices were rebased using the 2015/2016 base year, reflecting more comprehensive coverage of economic activities and methodological changes.",,,,,,,,,,,,,,,,,,,,,,,
c,"For 2000–2010, data include electricity, gas, steam, and air-conditioning supply; water supply; and sewerage, waste management, and remediation activities.",,,,,,,,,,,,,,,,,,,,,,,
d,"For 2000–2010, data include wholesale and retail trade; repair of motor vehicles and motorcycles; and accommodation and food service activities.",,,,,,,,,,,,,,,,,,,,,,,
e,"For 2000–2010, data include transportation and storage; and information and communication.",,,,,,,,,,,,,,,,,,,,,,,
f,"For 2000–2010, accommodation and food service activities are included in wholesale and retail trade; repair of motor vehicles and motorcycles.",,,,,,,,,,,,,,,,,,,,,,,
g,"For 2000–2010, data for information and communication are included in transportation and storage.",,,,,,,,,,,,,,,,,,,,,,,
h,"For 2000–2010, real estate activities are included in other service activities.",,,,,,,,,,,,,,,,,,,,,,,
i,"For 2011–2015, data include real estate activities; professional, scientific, and technical activities; and administrative and support service activities.",,,,,,,,,,,,,,,,,,,,,,,
j,"For 2000–2010, administrative and support service activities are included in other service activities.",,,,,,,,,,,,,,,,,,,,,,,
