BANGLADESH,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2023,,,,,,,,,,,,,,,,,,,,,,,,
https://kidb.adb.org,,,,,,,,,,,,,,,,,,,,,,,,
,               Private,…,…,…,…,…,…,…,…,…,…,…,…,2374.233,2607.486,2960.024,3344.722,4920.555,5499.423,6583.344,7452.276,7614.069,8366.82,9736.710164
,          Changes in inventoriesn,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Acquisitions less disposals of valuables,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Exports of goods and services,331.446,390,390,427.2,514.9,614.7,788.788,934.403,1110.181,1194.401,1277.985,1824.521,2127.459,2342.441,2551.592,2627.897,2889.793,2979.703,3345.191,3864.824,3310.854,3764.158,5116.455
,          Exports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Exports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Less: Imports of goods and services,455.852,545.1,520.4,602.2,693,854.3,1049.491,1261.628,1569.32,1632.429,1736.938,2518.417,2949.225,3208.142,3429.651,3751.508,3614.616,3993.156,5236.227,5455.213,5018.428,6022.928,8299.99
,          Imports of goods,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,          Imports of services,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
,     Statistical discrepancy,2.483,26,-5.9,31.6,28.6,72.4,33.64131,28.62256,18.25302,23.89396,25.36053,71.2341,79,104,6.292,103.745,108.409,111.362,473.389,17.472,366.358,254.711,473.6795627
,,,,,,,,,,,,,,,,,,,,,,,,
,               Structure of Demand (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,
,               Household final consumption,77.54701,77.49679,76.84114,76.0197,74.93768,74.44633,73.12331,73.89316,75.63231,74.57384,74.11465,74.28047,73.7369,72.84777,72.57273,72.44,66.86,66.91,67.59,66.88,66.95,68.78,69.07660629
,               Government final consumption,4.5716,4.50806,5,5.34633,5.52903,5.53802,5.44008,5.35946,5.17828,5.09375,5.07533,5.09745,5.03934,5.11613,5.33747,5.4,5.87,6.02,5.96,6.24,5.97,5.88,5.699000586
,               Gross capital formationo,23.02451,23.08657,23.14788,23.40475,24.02391,24.52657,26.14415,26.1785,26.20227,26.20606,26.24666,27.42097,28.3,28.4,28.6,28.88669115,30.24,30.95,31.82,32.21,31.31,30.76,32.04727564
,                    Changes in inventoriesn,,,,,,,,,,,,,,,,,,,,,,,
,               Exports of goods and services,13.98001,15.38182,14.27526,14.21252,15.46386,16.58169,16.35346,16.99533,17.65886,16.94013,16.02411,19.92207,20.16159,19.53787,18.98971,17.34,13.92,12.82,12.67,13.09,10.44,10.66,12.88222643
