ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Other,Age (10-year bands): 65+,2024,,Unreliable,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 15+,2024,60024.553,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 15-19,2024,7375.402,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 20-24,2024,6341.312,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 25-29,2024,5941.307,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 30-34,2024,5588.051,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 35-39,2024,6976.261,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 40-44,2024,6174.601,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 45-49,2024,5404.288,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 50-54,2024,4375.532,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 55-59,2024,3549.255,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 60-64,2024,3091.647,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Male,Age (5-year bands): 65+,2024,5206.896,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 15+,2024,61645.255,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 15-19,2024,6977.136,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 20-24,2024,7519.677,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 25-29,2024,8082.514,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 30-34,2024,7092.829,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 35-39,2024,7908.689,,,,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,LFS - Labour Force Survey,Working-age population by sex and age (thousands),Female,Age (5-year bands): 40-44,2024,5821.806,,,,Repository: ILO-STATISTICS - Micro data processing
