ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1_EN,ADM4ALT2_EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Banwarinagar,BD50763310,,,,Faridpur,BD507633,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,11.6656109150994
Baola,BD45618127,,,,Phulpur,BD456181,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,28.8754963737374
Bapta,BD10091814,,,,Bhola Sadar,BD100918,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,17.9036615555863
Bara Alampur,BD55857616,,,,Pirganj,BD558576,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,32.5005320718765
Bara Baisdia,BD10785727,,,,Galachipa,BD107857,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,93.4724470379494
Bara Bakia,BD20225611,,,,Pekua,BD202256,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,13.4397585926605
Bara Baria,BD40011419,,,,Chitalmari,BD400114,Bagerhat,BD4001,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,35.2825091573109
Bara Bazar,BD40443310,,,,Kaliganj,BD404433,Jhenaidah,BD4044,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,36.8101588807078
Bara Bhita,BD55491813,,,,Phulbari,BD554918,Kurigram,BD5549,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,33.7976081188481
Bara Bighai,BD10789531,,,,Patuakhali Sadar,BD107895,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,34.4644089265777
Bara Bihanali,BD50811222,,,,Baghmara,BD508112,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,15.0464519073321
Bara Chapa,BD30685221,,,,Manohardi,BD306852,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,21.6163847906857
Bara Chatul,BD60915913,,,,Kanaighat,BD609159,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,46.8617613905533
Bara Dargah,BD55857622,,,,Pirganj,BD558576,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,24.1714012353041
Bara Dhul,BD50881113,,,,Belkuchi,BD508811,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,30.1846446376072
Bara Gopalpur,BD30869412,,,,Zanjira,BD308694,Shariatpur,BD3086,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,8.47045503424473
Bara Harina,BD20842131,,,,Barkal,BD208421,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,158.30219368947
Bara Harishpur,BD50696320,,,,Natore Sadar,BD506963,Natore,BD5069,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,35.71786915111819
Bara Hazratpur,BD55855826,,,,Mitha Pukur,BD558558,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,33.3929323115947
Bara Jalia,BD10063613,,,,Hizla,BD100636,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,22.0128683822622
Bara Karai (uttar Bara Karai),BD20192723,,,,Chandina,BD201927,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,15.3169882770581
Bara Kharpan,BD45724011,,,,Kalmakanda,BD457240,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,42.07769321636901
Bara Kheri,BD20517313,,,,Ramgati,BD205173,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,5.357692252047531
Bara Kotha,BD10069421,,,,Wazirpur,BD100694,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,21.354906616462
Bara Krishnagar,BD30869421,,,,Zanjira,BD308694,Shariatpur,BD3086,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,10.8435024260289
Bara Machhua,BD10795817,,,,Mathbaria,BD107958,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,23.8113728463497
Bara Maheskhali,BD20224911,,,,Maheshkhali,BD202249,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,13.5034493009131
Bara Malancha,BD10099119,,,,Tazumuddin,BD100991,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,15.6657903978412
Bara Manika,BD10092116,,,,Burhanuddin,BD100921,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,27.2858925698827
Bara Palashbari,BD55940831,,,,Baliadangi,BD559408,Thakurgaon,BD5594,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,38.6184349985735
Bara Pangashi,BD50889421,,,,Ullah Para,BD508894,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,30.4436371638522
Bara Para,BD20193324,,,,Comilla Sadar Dakshin,BD201933,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,23.4758715418408
