Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Base Year: 2015-16,,,,,,,,,,
,,,,,,,,,,
Gross National saving (12)=(10)-(1),6665847.0,7137575.0,8078679.0,9190234.0,9960883.0,10870784.0,11656922.0,13448006.0,14215539.825563721,15259604.154447034
Current Account Balance (13)=(12)-(2)-(6),280204.0,-166791.0,-793478.0,-334891.0,-331562.0,-334116.0,-1545027.0,-216798.0,-698811.0,-15112.60949203372
Memo items: (% of GDP),,,,,,,,,,
Comsumption,72.73,72.93,73.55,73.12,72.92,74.66,74.78,74.24,76.04282118717812,78.02182262433762
Private,66.86,66.91,67.59,66.88,66.95,68.78,69.08,68.58,70.13474669601058,72.22016451827324
General Govt.,5.87,6.02,5.96,6.24,5.97,5.88,5.7,5.67,5.908074491167524,5.801658106064374
Investment,30.24,30.95,31.82,32.21,31.31,31.02,32.05,30.95,30.70049027393421,28.54110046446838
Private,23.7,23.66,24.94,25.25,24.02,23.7,24.52,24.18,23.95649645581319,22.028408969655842
Public,6.54,7.29,6.88,6.96,7.29,7.32,7.53,6.77,6.7439938181210195,6.512691494812533
Exports of goods & services,13.92,12.82,12.67,13.09,10.44,10.66,12.88,13.16,10.461187914178373,11.116108507305944
Imports of goods & services,17.41,17.18,19.84,18.48,15.83,17.06,20.9,17.83,16.31688810746602,16.834475528679
Gross Domestic saving,27.27,27.07,26.45,26.88,27.08,25.34,25.22,25.76,23.95717881282188,21.97817737566239
Gross National saving,32.11,30.71,30.61,31.14,31.42,30.79,29.35,29.95,28.41599837517862,27.669141790085682
Gross Domestic Product by Expenditure at Constant Prices,,,,,,,,,,
Domestic demand (1)+(2),21374626.0,22857217.0,25139830.0,26632316.0,27491513.0,29683386.0,32264271.0,33045979.0,34815059.99556265,36036822.348158225
Consumption (1),15097392.0,16055234.0,17512568.0,18480278.0,19017805.0,20524089.0,22037607.0,22593208.0,24020871.961928952,25507451.789992303
Private,13879862.0,14750010.0,16138461.0,16922051.0,17429171.0,18826200.0,20233744.0,20635377.0,21871695.183872793,23309001.476466764
General Govt.,1217531.0,1305224.0,1374107.0,1558227.0,1588635.0,1697889.0,1803863.0,1957831.0,2149176.7780561605,2198450.3135255408
Investment (2),6277233.0,6801983.0,7627262.0,8152038.0,8473708.0,9159297.0,10226664.0,10452771.0,10794188.033633698,10529370.558165926
Private,4920555.0,5202408.0,5958710.0,6472343.0,6488315.0,6993615.0,7820390.0,8046987.0,8394114.3741977,8093503.913056588
Public,1356679.0,1599576.0,1668552.0,1679696.0,1985393.0,2165682.0,2406274.0,2405784.0,2400073.659435998,2435866.6451093387
Resource balance (3)-(4),-724823.0,-964756.0,-1701396.0,-1380401.0,-1427291.0,-1813284.0,-2432829.0,-1498837.0,-1959327.69935848,-1980150.8348528286
Exports (3),2889793.0,2836526.0,3009722.0,3354530.0,2767407.0,3021772.0,3909948.0,4224019.0,3500332.0818813955,3849275.756310448
Imports (4),3614616.0,3801282.0,4711118.0,4734932.0,4194697.0,4835057.0,6342777.0,5722856.0,5459659.781239876,5829426.591163277
Gross Domestic Exp. at m.p.,20649803.0,21892461.0,23438435.0,25251915.0,26064222.0,27870101.0,29831443.0,31547142.0,32855732.296204172,34056671.513305396
Gross Domestic Product at constant price (5),20758212.0,22126229.0,23745740.0,25617356.0,26500649.0,28339444.0,30351496.0,32104329.0,33460177.85549275,34627907.36326973
Statistical Discrepancy (6),108409.0,233768.0,307305.0,365441.0,436427.0,469343.0,520053.0,557187.0,604445.5592885762,571235.8499643356
Net factor income from abroad (7),972538.0,763937.0,949590.0,1049323.0,1096913.0,1491651.0,1202424.0,1281348.0,1440882.4323582854,1901286.9564343786
Gross National Income at m.p. (8)=(5)+(7),21730750.0,22890166.0,24695330.0,26666679.0,27597562.0,29831095.0,31553920.0,33385677.0,34901060.287851036,36529194.31970411
Net current transfers from abroad (9),32489.0,42042.0,37901.0,40405.0,53239.0,53413.0,49709.0,62503.0,51046.52346178239,69374.92906876499
Gross Disposible National Income (10)=(8)+(9),21763239.0,22932208.0,24733231.0,26707084.0,27650801.0,29884508.0,31603629.0,33448180.0,34952106.81131282,36598569.248772874
