sector_name,year,value_millions,sector_code,base_year,price_type
Animal Farmings ,2013,253588.0,A_LIVE,2015,current
Forest and Related Services ,2013,166050.0,A_FOR,2015,current
Fishing ,2013,369946.0,A_FISH,2015,current
Mining and Quarrying,2013,194611.0,B,2015,current
Natural Gas and Crude Petroleum,2013,79531.0,B,2015,current
Other Mining and Coal ,2013,115080.0,B,2015,current
Manufacturing ,2013,1971272.0,C,2015,current
Large and Medium Scale,2013,1584482.0,A,2015,current
Small Scale,2013,386790.0,A,2015,current
"Electricity, Gas and Water Supply ",2013,163812.0,D,2015,current
Electricity,2013,121682.0,D,2015,current
Gas ,2013,34475.0,D,2015,current
Water ,2013,7655.0,A,2015,current
Construction ,2013,824321.0,F,2015,current
Wholesale and Retail Trade ,2013,1545794.0,G,2015,current
Hotel and Restaurants,2013,112634.0,A,2015,current
"Transport, Storage and Communication",2013,1242805.0,H,2015,current
Land Transport,2013,921831.0,H,2015,current
Water transport,2013,76486.0,H,2015,current
Air Transport,2013,10471.0,H,2015,current
"Support transport services, storage ",2013,60014.0,N,2015,current
Post and Telecommunication,2013,174003.0,A,2015,current
Financial Intermediations,2013,422365.0,K,2015,current
Banks,2013,347270.0,A,2015,current
Insurances,2013,49198.0,A,2015,current
Others ,2013,25897.0,E,2015,current
"Real Estate, Renting and Business Activities ",2013,788200.0,A,2015,current
Public Administration and Defense ,2013,376782.0,A,2015,current
Education ,2013,284293.0,P,2015,current
Health and Social Works,2013,238683.0,Q,2015,current
"Community, Social and Personal Services",2013,1389516.0,S,2015,current
Total GVA at current basic price,2013,11412612.0,TOTAL,2015,current
Tax less subsidy,2013,576620.0,A,2015,current
GDP at current market prices,2013,11989230.0,TOTAL,2015,current
