year,month,rate_type,exchange_rate_value,end_of_period_rate,period_average_rate
2009,9,"US Dollars per National Currency,Period average",0.0144801621778164,0,1
2009,10,"National Currency per US Dollar, End of period",69.15,1,0
2009,10,"National Currency per US Dollar, Period average",69.1026,0,1
2009,10,"US Dollars per National Currency,Period average",0.0144712355251467,0,1
2009,11,"National Currency per US Dollar, End of period",69.04,1,0
2009,11,"National Currency per US Dollar, Period average",69.0988,0,1
2009,11,"US Dollars per National Currency,Period average",0.0144720313522087,0,1
2009,12,"National Currency per US Dollar, End of period",69.2667,1,0
2009,12,"National Currency per US Dollar, Period average",69.1647,0,1
2009,12,"US Dollars per National Currency,Period average",0.0144582424271341,0,1
2010,1,"National Currency per US Dollar, End of period",69.2015,1,0
2010,1,"National Currency per US Dollar, Period average",69.2038,0,1
2010,1,"US Dollars per National Currency,Period average",0.0144500735508744,0,1
2010,2,"National Currency per US Dollar, End of period",69.232,1,0
2010,2,"National Currency per US Dollar, Period average",69.2888,0,1
2010,2,"US Dollars per National Currency,Period average",0.0144323469305285,0,1
2010,3,"National Currency per US Dollar, End of period",69.2429,1,0
2010,3,"National Currency per US Dollar, Period average",69.2509,0,1
2010,3,"US Dollars per National Currency,Period average",0.0144402455419352,0,1
2010,4,"National Currency per US Dollar, End of period",69.2914,1,0
2010,4,"National Currency per US Dollar, Period average",69.2559,0,1
2010,4,"US Dollars per National Currency,Period average",0.0144392030137505,0,1
2010,5,"National Currency per US Dollar, End of period",69.361,1,0
2010,5,"National Currency per US Dollar, Period average",69.2961,0,1
2010,5,"US Dollars per National Currency,Period average",0.0144308265544526,0,1
2010,6,"National Currency per US Dollar, End of period",69.5013,1,0
2010,6,"National Currency per US Dollar, Period average",69.358,0,1
2010,6,"US Dollars per National Currency,Period average",0.0144179474609995,0,1
2010,7,"National Currency per US Dollar, End of period",69.4078,1,0
2010,7,"National Currency per US Dollar, Period average",69.4349,0,1
2010,7,"US Dollars per National Currency,Period average",0.0144019794080498,0,1
2010,8,"National Currency per US Dollar, End of period",69.5826,1,0
2010,8,"National Currency per US Dollar, Period average",69.483,0,1
2010,8,"US Dollars per National Currency,Period average",0.0143920095562943,0,1
2010,9,"National Currency per US Dollar, End of period",70.2485,1,0
2010,9,"National Currency per US Dollar, Period average",69.7033,0,1
2010,9,"US Dollars per National Currency,Period average",0.0143465230484066,0,1
2010,10,"National Currency per US Dollar, End of period",70.7938,1,0
2010,10,"National Currency per US Dollar, Period average",70.4887,0,1
2010,10,"US Dollars per National Currency,Period average",0.0141866710550769,0,1
2010,11,"National Currency per US Dollar, End of period",70.3615,1,0
2010,11,"National Currency per US Dollar, Period average",70.4016,0,1
2010,11,"US Dollars per National Currency,Period average",0.0142042226313038,0,1
2010,12,"National Currency per US Dollar, End of period",70.7497,1,0
2010,12,"National Currency per US Dollar, Period average",70.6265,0,1
2010,12,"US Dollars per National Currency,Period average",0.0141589913134588,0,1
2011,1,"National Currency per US Dollar, End of period",71.15,1,0
2011,1,"National Currency per US Dollar, Period average",71.0427,0,1
2011,1,"US Dollars per National Currency,Period average",0.0140760415918877,0,1
2011,2,"National Currency per US Dollar, End of period",71.3,1,0
2011,2,"National Currency per US Dollar, Period average",71.1778,0,1
2011,2,"US Dollars per National Currency,Period average",0.0140493243679911,0,1
2011,3,"National Currency per US Dollar, End of period",72.7648,1,0
2011,3,"National Currency per US Dollar, Period average",71.9831,0,1
2011,3,"US Dollars per National Currency,Period average",0.0138921496851344,0,1
2011,4,"National Currency per US Dollar, End of period",72.9489,1,0
2011,4,"National Currency per US Dollar, Period average",72.8494,0,1
2011,4,"US Dollars per National Currency,Period average",0.0137269490208567,0,1
2011,5,"National Currency per US Dollar, End of period",73.4967,1,0
2011,5,"National Currency per US Dollar, Period average",73.2237,0,1
2011,5,"US Dollars per National Currency,Period average",0.0136567805232459,0,1
2011,6,"National Currency per US Dollar, End of period",74.2329,1,0
2011,6,"National Currency per US Dollar, Period average",73.9166,0,1
2011,6,"US Dollars per National Currency,Period average",0.0135287607925689,0,1
2011,7,"National Currency per US Dollar, End of period",74.7371,1,0
2011,7,"National Currency per US Dollar, Period average",74.4848,0,1
2011,7,"US Dollars per National Currency,Period average",0.0134255579661891,0,1
2011,8,"National Currency per US Dollar, End of period",73.6128,1,0
2011,8,"National Currency per US Dollar, Period average",74.5227,0,1
2011,8,"US Dollars per National Currency,Period average",0.0134187301318927,0,1
2011,9,"National Currency per US Dollar, End of period",75.2267,1,0
